Date / Time,City,State,Shape,Duration,Summary,Posted
6/22/08 01:00,Troup,TX,Oval,10 minutes,Was working on a well site in Troup Texas around 0200. Off to the left a Bright red light caught my attention. Looked in the direction,7/5/08
6/21/08 04:45,Crandall/Seagoville,TX,Unknown,15 minutes,Flashes of bright light coming from the ground and seen from the highway.,7/5/08
6/14/08 21:00,Kemah,TX,Unknown,2 minutes,Bright Orange Light seen over Galveston Bay,7/5/08
6/14/08 11:00,New Braunfels,TX,Triangle,3-4minutes,triangle craft with lights,7/5/08
6/14/08 11:00,New Braunfels,TX,Triangle,,Triangle shape craft with 4 lights  500 Lights On Object0: Yes,7/5/08
6/14/08 00:24,Waco,TX,Other,seconds,"Three different single-color lights, red, green, and blue, each flashed once in the pattern of an opening Japanese-style fan.",7/5/08
6/13/08 01:30,Nacogdoches,TX,Circle,5 minutes,Large red circle flies West Direction to Home,10/31/08
6/12/08 22:40,Flint,TX,Changing,around 2 hours,Very bright and then colored lights would ripple through middle and around quickly.  ((NUFORC Note:  Twinkling star??  PD)),7/5/08
6/12/08 19:00,El Paso,TX,Cigar,4 minutes,"6 flying cigar shape ufo's out side of El Paso,TX",7/5/08
6/12/08 12:40,Lewisville,TX,Oval,1.5 sec,orange glow seen in NE sky,7/5/08
6/12/08 00:30,Flint,TX,Changing,over a few hours,Bright star moving around all over the place.  Changed from bright to dim over and over (pulsating or light revolving).,7/5/08
6/11/08 22:40,Houston,TX,Light,25 minutes,"Light in the sky changing colors, moving very fast, dancing in one spot",6/12/08
6/10/08 22:30,Austin,TX,Light,Less than 1 minute,Pulsating star looking light moving fast and steady.,6/12/08
6/10/08 20:30,Houston,TX,Light,one minute,Bright White light seen moving across Houston nighttime skies.,6/12/08
6/10/08 09:15,Honey Grove,TX,Sphere,about 4minutes,"I was out in my field again by our redneck clubhouse, and I looked up to see a bright, bright spherical object. It was clear sky's and",7/5/08
6/9/08 09:10,Honey Grove,TX,Light,8seconds,"Well to begin with, my two brothers and I were out in our field by our redneck clubhouse just talking about different stuff, and all of",7/5/08
6/8/08 22:10,Austin,TX,Light,1 minute,"Steady, silent moving light moving over Northeast Austin, and vanishing.  ((NUFORC Note:  Probably ISS.  Please see table below.  PD))",6/12/08
6/7/08 23:00,Pattonville,TX,Light,seconds,Bright then dull light supersonic speed,7/5/08
6/7/08 22:55,Wolfe City,TX,Sphere,3 minutes,White sphere moves from horizon to horizon and back again in a matter of seconds.  ((NUFORC Note:  Could not have been ISS.  PD)),6/12/08
6/1/08 14:00,Bee Cave,TX,Disk,10 minutes or less,"June of 2008, silver craft traveling over Bee Cave, TX.",1/10/09
5/31/08 23:30,Lake Texoma,TX,Triangle,3 minutes,Translucent UFO Triangle over Texas/Oaklahoma.  ((NUFORC Note:  Possible sighting of U. S. Navy NOSS satellites??  PD)),6/12/08
5/30/08 23:00,Cheek,TX,Light,8 sec.,bright light in the sky,6/12/08
5/30/08 21:30,Houston,TX,Sphere,45 min,Tonight I and my little girl saw what appeared to be flying orbs of light over Houston. The direction of each craft was had no apparent,6/12/08
5/29/08 21:00,Houston,TX,Sphere,20 sec,05/29/2008 bule light headed SE. around 23:00 - 23:30,6/12/08
5/28/08 17:30,Dallas,TX,Disk,2 - 3 minutes,"Disk or Saucer moving south to north in Dallas, Texas.",6/12/08
5/27/08 07:00,Garland,TX,Rectangle,1 minute,"Large, red rectangle hovers over parking lot in Garland TX.",6/12/08
5/22/08 04:45,San Antonio,TX,Sphere,5 seconds,"I left my condo for work, looked up into the sky saw the moon with clouds around it, just then I saw an round object yellow in color mo",6/12/08
5/20/08 21:45,Seguin,TX,Oval,2-3 seconds,"large disc object tilts on side, glowing  clearly visible as and disappears immediately after the tilt 2-3 second duration",6/12/08
5/17/08 12:00,Carrollton,TX,Cigar,20 seconds,"12: noon Carrollton, TX. Cigar metallic object traveling north at an incredible rate of speed for 20 seconds",6/12/08
5/12/08 20:00,River Oaks,TX,Unknown,2 min.,it was a big black tenticle looking thing that was hovering .,6/12/08
5/11/08 22:30,Corsicana,TX,Light,5 seconds,"Green and White lights spotted near Corsicana, Texas fall from the sky north of 287 East of I-45.",6/12/08
5/11/08 00:14,Arlington,TX,Flash,seemed like just a couple,lights in the sky and time lapse,6/12/08
5/7/08 23:00,Mansfield,TX,Light,15 minutes,unidentifiable lights,6/12/08
5/6/08 04:00,Irving,TX,Diamond,Unknown,UFO Alien Encounters,6/12/08
5/4/08 22:00,Dallas,TX,Diamond,15-30 Seconds,I walked out on my porch to look through my new telescope. As I was putting it together I looked up to see where the moon was so I coul,6/12/08
5/4/08 00:00,Lake Jackson,TX,Other,5 seconds,"Gaseous object with 4 bright lights speeds across sky over Lake Jackson, TX.",6/12/08
5/3/08 22:00,Fort Davis,TX,Unknown,10 Minutes,We watched an impossibly fast and agile object maneuvering in orbit for about ten minutes through night vision goggles.,8/5/09
5/3/08 21:20,Alpine,TX,Light,ten minutes,Three reputable witnesses see UFO over west Texas.,8/12/08
5/2/08 21:00,Fort Worth,TX,Oval,2 min,Craft with intense white light,6/12/08
5/2/08 04:00,Nacogdoches,TX,Light,10 minutes,White light appears over clear Texas sky?,6/12/08
4/30/08 23:45,El Paso,TX,Light,30 seconds,El Paso bright orange light,6/12/08
4/29/08 23:00,Buda,TX,Triangle,6 seconds,A triangle shaped craft with brilliant lights flew over my house.,6/12/08
4/28/08 20:45,Brownsville,TX,Light,30 minutes,Object & airplane almost collide,6/12/08
4/27/08 11:15,San Antonio,TX,Changing,5 minutes,"UFO sighting in San Antonio, Texas",6/12/08
4/26/08 21:00,Groveton,TX,Unknown,3 seconds,Fast moving object.  Three white lights on side or bottom.,6/12/08
4/26/08 20:45,Hallsville,TX,Changing,30 sec,Green light moves across Texas sky and then disappears.,6/12/08
4/26/08 20:00,Caddo Mills,TX,Disk,5 seconds,Bright ball going east to west.,1/10/09
4/26/08,Houston,TX,Other,15 minuts,Advanced flying machines in harris county.,6/12/08
4/25/08 11:14,Austin,TX,Teardrop,33 minutes,Durning a lightning storm a grey jellyfish looking craft that emitts no light changes in to a 3-D rectangle with lights.,6/12/08
4/24/08,Interstate 40,TX,,,Truck driver witnesses peculiar object w/ yellow light fly above her truck in TX.,6/12/08
4/22/08 22:30,Albany,TX,Fireball,20 seconds,Big  blue and red fireball.,6/12/08
4/19/08 22:49,Midland,TX,Cigar,25-30 seconds,cigar shape rotation of brights length of 2 buses,6/12/08
4/18/08 21:00,Dallas,TX,Disk,10-15sec.,Round object with 5 lights,6/12/08
4/17/08 21:00,Nevada,TX,Light,30 Min,"On April 17, 2008 White and Orange flashing lights from the east appeared.",6/12/08
4/16/08 21:00,Houston,TX,Other,20seconds,They were shaped like geese would fly. We were lying in the back yard watching the stars and it came from south to north. My son said l,6/12/08
4/12/08 20:55,Spring,TX,Light,5 to 10 seconds,"It was probably a meteor, but while viewing the International Space Station we saw something unusual.",6/12/08
4/11/08 21:20,Pilot Point,TX,Teardrop,21:21,"((HOAX))  9:20 a gray object hovering above the horizon, emitted no light or sounds.",4/17/08
4/10/08 22:15,Azle,TX,Rectangle,3-4 minutes,"Azle,TX Silent rectanluar object with round gold lights travels low over trees alongside van and glides down street",6/12/08
