Date / Time,City,State,Shape,Duration,Summary,Posted
12/4/18 20:54,Galveston,TX,Light,2.0,"I’m from Galveston, and I seen a bright green egg shaped light that shot down into the water. ((anonymous report))",12/6/18
11/14/18 14:55,Coppers Cove,TX,Oval,30.0,The object was still in the sky did not move then disappeared did not fly off or was too fast to see fly off.,11/24/18
11/13/18 16:00,Kaufman,TX,Circle,5.0,We were coming into Kaufman from Dallas. And the driver pointed it out first there were 3 circular orbs appearing to be stacked one abo,11/24/18
11/12/18 18:10,San Angelo,TX,Sphere,15.0,Ball of light followed the Concho River.  ((anonymous report)),11/24/18
11/11/18 20:50,San Antonio,TX,Flash,5.0,Was driving home heading south on Commercial avenue on the south side of San Antonio. We noticed a large flash of light in the south ea,11/24/18
11/2/18 10:00,San Antonio,TX,Rectangle,5.0,Strange Light Over San Antonio (Fresno St/Edison HS Area),11/9/18
10/27/18 16:15,Crowley,TX,Triangle,0,Triangular UFO picture with plane and sandhill cranes,11/9/18
10/25/18 03:00,Newark/Fort Worth,TX,Sphere,10.0,Red flashing light crashing from the sky.,11/9/18
10/14/18 01:00,Beaumont,TX,Light,10.0,I was standing outside with my sister-in-law walking my dog when I noticed the strangest star in the sky.,12/14/18
10/10/18 20:30,Dallas,TX,Light,10.0,I was walking my dog facing east toward the Dallas/Fort Worth airport and saw four brighter than usual lights over the vicinity.,10/12/18
10/10/18 20:00,Irving,TX,Other,0,I saw a strangely shaped aircraft near my bus stop.  ((anonymous report)),10/18/18
9/30/18 02:00,Arlington,TX,Sphere,10.0,"Sphere in sky, looked like the sky was moving.",10/6/18
9/24/18 22:50,Houston,TX,Triangle,1.0,"Black isosceles triangle with six large, faded lights around the inside of its outline and the inside of all three corners and another",9/27/18
9/15/18 17:00,Hitchcock,TX,Changing,4.0,Numerous witnesses of changing phenomenon in the sky. First noticed A vertical beam of lights. Then within close proximity was an orb o,9/27/18
9/13/18,Sherman,TX,Sphere,30.0,My son and I was Flying a kite N there was somthing in the air.  ((anonymous report)),9/27/18
9/11/18 20:31,The Woodlands,TX,Egg,20.0,Orb photographed 9/11/2018 The Woodlands Texas,9/13/18
9/8/18 20:05,Humble,TX,Light,2.0,"Reddish orange light N of the Houston area, travelling S, stops for about 20,seconds, dims, brightens then vanishes.",9/13/18
9/1/18 21:10,Houston,TX,Light,35.0,"He stopped @ the end of my driveway,,, and said, ""Those bright light are not moving.""",9/13/18
8/29/18 22:00,Amarillo,TX,Circle,17.0,Unexplained bright light.,8/31/18
8/24/18 06:00,Whitesboro,TX,Light,20.0,Object flashes after making a high altitude U-turn,8/31/18
8/21/18 20:06,Carmine,TX,Unknown,5.0,I was taking pictures of the sunset at the time and I didn't notice anything until I was thumbing through my gallery to clear to make r,8/31/18
8/19/18 20:55,Smiley,TX,Light,1.0,Light quickly shot across the sky and stopped.,8/22/18
8/17/18 19:30,El Paso,TX,Circle,10.0,Evening viewing of several on identified aerial objects with clear photographs.  ((NUFORC Note:  Possible high-altitude balloon.  PD)),8/22/18
8/16/18 21:10,Fischer,TX,Disk,1.0,"Noticed a disc shape moving quickly and disappear, only to reappear brighter and then disappear again. ((anonymous report))",8/17/18
8/14/18 05:45,Vidor,TX,Light,5.0,"Light was fast coming from N, heading S.  Light slowed down.  Started turning E toward the Pentagon Constellation. ((anonymous report))",8/17/18
8/7/18 21:08,Austin,TX,Formation,2.0,"Four solid orange lights seen flying in formation, before they disappeared.",8/10/18
8/7/18 21:00,Eagle Pass,TX,Sphere,1.0,Many sightings all over town.  ((anonymous report)),8/10/18
8/4/18 20:15,Spring,TX,Cigar,20.0,"So, there was a cigar shaped object in the sky that would lighting up and changing colors, it was not a plane.",8/10/18
8/4/18 13:33,Houston,TX,Circle,5.0,Saw a red/orange spinning wheel object ascending and then vanish into cloud bank.,8/10/18
8/1/18 23:00,Houston,TX,Changing,15.0,Ufos that mimic planes everyday occurrence now.,8/10/18
7/19/18 22:00,Marfa,TX,Triangle,20.0,West Texas Triangle UFOs,8/10/18
7/11/18 22:09,Midland,TX,Light,5.0,Blue UFO hovers above me for several minutes,8/10/18
7/11/18 04:15,Shepherd,TX,Light,90.0,"Pair of white lights, unmoving directly overhead, fading within 90 seconds to invisible.",7/19/18
7/10/18 14:45,Arlington,TX,Sphere,3.0,Black sphere about the size of a large air plane very slowly moving then as I pointe do it out it sped off very extremely fast.,7/13/18
7/10/18 09:18,Livingston,TX,Unknown,12.0,Seen this weaird light about 9:00.after work it was sitting steal with altering lights white red and green it shows movement left to ri,8/10/18
7/8/18 11:30,Austin,TX,Light,3.0,Out walking my dog and saw a light orb zigzag in the sky then stop. Was 100 steps from home and did not have my mobile phone with me. W,7/13/18
7/4/18 21:33,Pasadena,TX,Other,2.0,Moving Star (white dot) vanished with orange flash.  ((anonymous report)),7/5/18
6/15/18 19:30,Kerr County,TX,Other,3.0,"Ball-shaped solid object, low altitude, silent, constant speed and altitude, seemed to rotate or ""jiggle,"" glinted occasional",6/21/18
